City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Dingle,PH,2021-01-26 00:13:19,10.9995,122.6711,75.4,84,87,9.64
136,Alofi,NU,2021-01-26 00:13:19,-19.0595,-169.9187,82.4,73,90,10.36
137,Narsaq,GL,2021-01-26 00:13:19,60.9167,-46.05,24.8,28,38,29.93
138,Bintulu,MY,2021-01-26 00:13:19,3.1667,113.0333,75.2,94,40,2.3
139,Plettenberg Bay,ZA,2021-01-26 00:13:20,-34.0527,23.3716,68.05,76,0,2.35
140,Hobart,AU,2021-01-26 00:11:37,-42.8794,147.3294,70.0,45,75,16.11
141,Tasiilaq,GL,2021-01-26 00:13:20,65.6145,-37.6368,8.6,56,98,16.11
142,Bambous Virieux,MU,2021-01-26 00:13:20,-20.3428,57.7575,75.0,94,20,5.75
143,Gat,IL,2021-01-26 00:12:06,31.61,34.7642,51.01,84,0,3.42
144,Panguna,PG,2021-01-26 00:13:20,-6.3164,155.4848,83.8,53,64,2.26
145,Brae,GB,2021-01-26 00:13:20,60.3964,-1.353,35.6,69,51,9.22
146,Vardo,NO,2021-01-26 00:13:21,70.3705,31.1107,28.4,80,75,10.36
147,College,US,2021-01-26 00:12:40,64.8569,-147.8028,3.99,77,40,6.91
148,Trairi,BR,2021-01-26 00:13:21,-3.2778,-39.2689,79.29,82,97,9.1
149,Bartica,GY,2021-01-26 00:13:21,6.4,-58.6167,78.8,89,40,9.22
150,Cockburn Town,TC,2021-01-26 00:13:21,21.4612,-71.1419,77.0,73,40,16.11
151,Ciudad Valles,MX,2021-01-26 00:13:21,21.9833,-99.0167,81.1,64,0,5.91
152,Makakilo City,US,2021-01-26 00:11:24,21.3469,-158.0858,73.4,88,90,8.05
153,Ho Chi Minh City,VN,2021-01-26 00:13:22,10.75,106.6667,77.0,88,40,3.44
154,Port Hardy,CA,2021-01-26 00:13:22,50.6996,-127.4199,39.2,75,75,6.91
155,Ust-Maya,RU,2021-01-26 00:13:17,60.4167,134.5333,-52.2,76,54,2.17
156,Mehamn,NO,2021-01-26 00:12:06,71.0357,27.8492,28.54,97,100,27.49
157,Formosa,AR,2021-01-26 00:13:22,-26.1775,-58.1781,77.0,94,90,11.5
158,Kapaa,US,2021-01-26 00:13:22,22.0752,-159.319,75.99,88,75,19.57
159,Balaguer,ES,2021-01-26 00:13:22,41.7912,0.8109,43.0,93,0,6.91
160,Rawlins,US,2021-01-26 00:13:23,41.7911,-107.2387,12.99,72,20,4.61
161,Vao,NC,2021-01-26 00:11:57,-22.6667,167.4833,76.57,76,68,20.76
162,Gabu,GW,2021-01-26 00:13:23,12.2833,-14.2167,69.55,48,0,4.9
163,Sao Filipe,CV,2021-01-26 00:13:23,14.8961,-24.4956,72.9,67,51,4.5
164,Mahebourg,MU,2021-01-26 00:13:23,-20.4081,57.7,71.6,94,20,5.75
165,Galveston,US,2021-01-26 00:13:23,29.3669,-94.9669,72.0,88,90,9.22
166,Torbay,CA,2021-01-26 00:13:24,47.6666,-52.7314,28.99,93,90,8.05
167,Caravelas,BR,2021-01-26 00:13:24,-17.7125,-39.2481,75.94,82,85,3.18
168,Ahipara,NZ,2021-01-26 00:12:31,-35.1667,173.1667,74.1,62,50,7.78
169,Coquimbo,CL,2021-01-26 00:13:24,-29.9533,-71.3436,62.6,82,40,8.05
