City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Fairmont,US,39.4851,-80.1426,39.0,80,80,1.99,broken clouds
115,Puerto Ayora,EC,-0.7393,-90.3518,77.0,95,47,5.01,scattered clouds
116,Jamestown,US,42.097,-79.2353,27.0,93,90,6.02,light snow
117,Goderich,CA,43.7501,-81.7165,24.8,86,93,6.91,overcast clouds
118,Urengoy,RU,65.9667,78.3667,-32.01,84,100,4.45,overcast clouds
119,Bahia Blanca,AR,-38.7196,-62.2724,63.73,71,0,6.38,clear sky
120,Verkhoyansk,RU,67.5447,133.385,-48.35,73,44,1.03,scattered clouds
121,Chicama,PE,-7.8447,-79.1469,71.42,74,100,4.94,overcast clouds
122,Camacupa,AO,-12.0167,17.4833,62.64,93,100,1.72,overcast clouds
123,Tarime,TZ,-1.35,34.3667,65.98,66,5,5.03,clear sky
124,San Juan,AR,-31.5375,-68.5364,79.36,42,0,12.01,clear sky
125,Khatanga,RU,71.9667,102.5,-26.73,81,33,9.13,scattered clouds
126,Zima,RU,53.9202,102.0442,-11.87,86,4,2.28,clear sky
127,Nchelenge,ZM,-9.3451,28.734,69.91,84,99,1.41,overcast clouds
128,Zhicheng,CN,30.2956,111.5047,46.99,78,99,6.73,overcast clouds
129,Surt,LY,31.2089,16.5887,55.81,57,35,19.51,scattered clouds
130,Hobart,AU,-42.8794,147.3294,64.99,47,75,16.11,broken clouds
131,Onverwacht,SR,5.5833,-55.1833,77.0,90,74,1.99,broken clouds
132,Qaanaaq,GL,77.484,-69.3632,-16.83,63,0,6.89,clear sky
133,Campbell River,CA,50.0163,-125.2446,35.01,93,90,0.58,overcast clouds
134,Tiznit,MA,29.5833,-9.5,60.93,34,0,6.87,clear sky
135,Cidreira,BR,-30.1811,-50.2056,74.75,90,100,10.33,overcast clouds
136,Laguna,US,38.421,-121.4238,46.0,70,90,31.07,light rain
137,Ventspils,LV,57.3894,21.5606,35.6,100,90,17.27,overcast clouds
138,Maceio,BR,-9.6658,-35.7353,73.4,94,75,3.44,broken clouds
139,Saskylakh,RU,71.9167,114.0833,-38.07,81,20,1.57,few clouds
140,Kruisfontein,ZA,-34.0033,24.7314,72.0,81,100,1.01,overcast clouds
141,Bijie,CN,27.3125,105.2942,39.09,75,100,8.19,overcast clouds
142,Esperance,AU,-33.8667,121.9,64.4,88,75,16.11,broken clouds
143,Wingham,CA,43.8879,-81.3114,24.8,86,98,6.91,overcast clouds
144,Husavik,IS,66.0449,-17.3389,10.4,85,75,5.32,light snow
145,Alzamay,RU,55.5562,98.6644,-9.49,86,5,6.6,clear sky
146,Clyde River,CA,70.4692,-68.5914,1.4,66,1,5.75,clear sky
147,Faanui,PF,-16.4833,-151.75,82.17,71,68,16.53,broken clouds
148,Elizabeth City,US,36.2946,-76.2511,46.99,93,90,8.05,overcast clouds
149,Norman Wells,CA,65.282,-126.8329,-16.6,76,90,2.3,light snow
150,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,90,16.11,snow
151,Abu Zabad,SD,12.35,29.25,70.72,22,26,15.14,scattered clouds
152,Vaini,TO,-21.2,-175.2,77.0,94,75,5.75,broken clouds
153,Geraldton,AU,-28.7667,114.6,74.53,59,22,18.66,few clouds
154,Tsimlyansk,RU,47.6461,42.1019,34.74,92,100,14.67,snow
155,Moron,AR,-34.6534,-58.6198,78.01,83,100,3.0,overcast clouds
156,Bobrovka,RU,54.047,61.7455,24.57,96,75,11.34,broken clouds
157,Yar-Sale,RU,66.8333,70.8333,-36.72,81,0,11.65,clear sky
158,Anadyr,RU,64.75,177.4833,5.0,78,75,13.42,snow
159,Cayenne,GF,4.9333,-52.3333,77.0,94,75,8.05,broken clouds
160,Bonfim,BR,3.0833,-59.95,76.03,75,27,9.42,scattered clouds
161,Fuling,CN,29.7022,107.3919,49.87,72,100,0.78,overcast clouds
162,Canon City,US,38.441,-105.2424,17.6,86,90,3.94,light snow
163,Bambous Virieux,MU,-20.3428,57.7575,86.0,58,40,8.05,scattered clouds
164,Shimoda,JP,34.6667,138.95,55.4,82,75,11.5,broken clouds
165,Andijon,UZ,40.7821,72.3442,37.99,96,3,11.99,clear sky
166,Padang,ID,-0.9492,100.3543,86.92,52,75,6.44,broken clouds
167,Tasiilaq,GL,65.6145,-37.6368,12.15,91,100,10.94,light snow
168,Mukhen,RU,48.1,136.1,4.23,91,100,6.11,overcast clouds
169,Basco,PH,20.4487,121.9702,73.02,74,28,15.9,scattered clouds
170,Prince Rupert,CA,54.3161,-130.3201,33.8,86,1,6.91,clear sky
171,Hualmay,PE,-11.0964,-77.6139,70.48,79,100,10.07,overcast clouds
172,Ponta Delgada,PT,37.7333,-25.6667,62.01,100,75,23.02,mist
173,Lebu,CL,-37.6167,-73.65,55.15,81,48,14.63,scattered clouds
174,Kifri,IQ,34.6959,44.9661,56.52,41,81,3.47,broken clouds
175,North Bend,US,43.4065,-124.2243,39.0,97,100,1.01,overcast clouds
176,Noumea,NC,-22.2763,166.4572,87.8,48,40,3.44,scattered clouds
177,Atagay,RU,55.1033,99.3875,-7.96,86,41,6.8,scattered clouds
178,Hofn,IS,64.2539,-15.2082,27.36,89,100,20.67,overcast clouds
179,Krasnoselkup,RU,65.7,82.4667,-28.17,84,100,9.31,overcast clouds
180,Muroto,JP,33.2833,134.15,59.0,47,20,23.02,few clouds
181,Pevek,RU,69.7008,170.3133,-28.01,85,41,4.85,scattered clouds
182,San Quintin,MX,30.4833,-115.95,50.99,57,0,4.88,clear sky
183,Alofi,NU,-19.0595,-169.9187,78.8,89,100,5.75,moderate rain
184,Upata,VE,8.0086,-62.3989,75.0,91,45,4.0,scattered clouds
185,Fort Nelson,CA,58.8053,-122.7002,-7.6,71,90,6.91,light snow
186,Madras,IN,13.0878,80.2785,86.0,51,40,8.05,haze
187,Thanh Hoa,VN,19.8,105.7667,79.14,52,59,8.3,broken clouds
188,Chokurdakh,RU,70.6333,147.9167,-28.39,84,96,8.81,overcast clouds
